snapped_at,price,market_cap,total_volume
2020-01-26 00:00:00 UTC,1575.9582599738656,0.0,30350.780665833747
2020-01-27 00:00:00 UTC,1585.137326483012,6324697.932667218,1031042.5571014755
2020-01-28 00:00:00 UTC,1576.7576394037924,6299488.916177106,1182152.003887114
2020-01-29 00:00:00 UTC,1588.0637689952762,6328188.822700602,2156085.715073883
2020-01-30 00:00:00 UTC,1566.6799642814242,6279658.911762742,410191.28936444584
2020-01-31 00:00:00 UTC,1595.1865140484645,6386331.741901379,5856849.116636703
2020-02-01 00:00:00 UTC,1595.3021947340653,6422667.4950263165,37565.233436893715
2020-02-02 00:00:00 UTC,1595.8932570513684,6365807.477683375,213149.01442015154
2020-02-03 00:00:00 UTC,1588.556441851818,6338340.202988754,362910.18756979425
2020-02-04 00:00:00 UTC,1580.4988006968679,6322968.486622649,573868.5665235333
2020-02-05 00:00:00 UTC,1570.470218183083,6319741.231798712,95395.66770756547
2020-02-06 00:00:00 UTC,1579.788374855835,6299523.072888717,1459579.523696406
2020-02-07 00:00:00 UTC,1573.0673290603315,6262279.491109117,418795.6618942775
2020-02-08 00:00:00 UTC,1582.1253456284016,6309224.735657362,1283976.4056372885
2020-02-09 00:00:00 UTC,1581.404994869332,12153059.358203929,1623619.856734371
2020-02-10 00:00:00 UTC,1574.822941180338,12094919.499357862,569718.5646316066
2020-02-11 00:00:00 UTC,1573.2581457589038,12074172.009984003,119183.29345488737
2020-02-12 00:00:00 UTC,1567.1253137572942,11984483.200559443,341803.5561349757
2020-02-13 00:00:00 UTC,1561.8896537853532,12003663.085504163,193918.98316538383
2020-02-14 00:00:00 UTC,1583.4751154957644,12114927.916803231,17305.58015900808
2020-02-15 00:00:00 UTC,1582.51625566187,12182026.234371284,5238.055217546673
2020-02-16 00:00:00 UTC,1582.1340234340948,12162759.35628242,56756.7216584577
2020-02-17 00:00:00 UTC,1595.1226958523814,12195723.21821487,2638.8653449413823
2020-02-18 00:00:00 UTC,1588.2884033460105,25305651.87805413,810.0133033763033
2020-02-19 00:00:00 UTC,1602.3893133937936,25571577.62798122,200564.89534197134
2020-02-20 00:00:00 UTC,1610.7688568313258,25728983.18602889,695177.1162414674
2020-02-21 00:00:00 UTC,1614.7978808430935,25758298.46931666,250523.70038780698
2020-02-22 00:00:00 UTC,1643.7591326219651,26243485.444912218,2127252.859815368
2020-02-23 00:00:00 UTC,1638.0391028996153,26126966.599044334,825929.0210742612
2020-02-24 00:00:00 UTC,1669.0269675809438,26585949.63058308,413617.3474523378
2020-02-25 00:00:00 UTC,1653.3089560538888,26376271.5662754,980358.6114923473
2020-02-26 00:00:00 UTC,1637.6983417585334,26099709.005370237,978243.162588167
2020-02-27 00:00:00 UTC,1647.6412162111205,26286522.51822322,781945.9366158049
2020-02-28 00:00:00 UTC,1638.4513030511444,26170242.302470025,189644.48289711753
2020-02-29 00:00:00 UTC,1588.9131626646713,25451220.33538594,937400.012969127
2020-03-01 00:00:00 UTC,1580.6684604720585,25173215.687555403,23759.17325552888
2020-03-02 00:00:00 UTC,1585.0504039474329,25295819.396597084,282981.38712200907
2020-03-03 00:00:00 UTC,1591.4764204711723,25390321.61620207,139460.61087852597
2020-03-04 00:00:00 UTC,1643.129897411859,26237773.60676668,154146.47271426706
2020-03-05 00:00:00 UTC,1642.9124119640562,26236592.753727816,96155.53418303859
2020-03-06 00:00:00 UTC,1665.2721742778863,26557416.42329071,327403.9247004396
2020-03-07 00:00:00 UTC,1674.1402275416167,26717603.891336665,1202809.0795425116
2020-03-08 00:00:00 UTC,1674.2254712996853,26702167.0430438,444061.268281566
2020-03-09 00:00:00 UTC,1696.9786471708787,26562311.939307217,3733951.7700316724
2020-03-10 00:00:00 UTC,1674.6374814332894,26792450.121098846,1640591.3935332382
2020-03-11 00:00:00 UTC,1649.038534971142,26335832.28547718,855832.4830449463
2020-03-12 00:00:00 UTC,1639.2182954134792,26128361.35672085,856171.3165152215
2020-03-13 00:00:00 UTC,1621.3381690603137,25874935.84003355,15616287.698095333
